source_id,url,fetched_at,http_status,content_type,content_length,content_sha256,etag,last_modified,outcome,raw_ref,reason,warnings
fda.importalert.66-40,https://www.accessdata.fda.gov/cms_ia/importalert_189.html,2026-09-02T13:22:06Z,200,text/html,1931510,ce1934ea4069ccaaa469ddbaf4497b51f826105c99f91766ac0ea383928e64da,"""37de296d443add1:0""","Tue, 01 Sep 2026 19:02:25 GMT",first_capture,raw/fda.importalert.66-40/2026/09/20260902T132206Z-ce1934ea4069.html,,
fda.importalert.66-40,https://www.accessdata.fda.gov/cms_ia/importalert_189.html,2026-09-07T20:01:41Z,200,text/html,1937226,fa4b8a359953caf632b7d2a72c2c700f3620f250e93aee539383db51365e8c99,"""34ace485be3cdd1:0""","Fri, 04 Sep 2026 22:41:27 GMT",changed,raw/fda.importalert.66-40/2026/09/20260907T200141Z-fa4b8a359953.html.gz,,
fda.importalert.66-40,https://www.accessdata.fda.gov/cms_ia/importalert_189.html,2026-09-07T20:38:42Z,304,text/html,1937226,fa4b8a359953caf632b7d2a72c2c700f3620f250e93aee539383db51365e8c99,"""34ace485be3cdd1:0""","Fri, 04 Sep 2026 22:41:27 GMT",unchanged,raw/fda.importalert.66-40/2026/09/20260907T200141Z-fa4b8a359953.html.gz,not_modified,
fda.importalert.66-40,https://www.accessdata.fda.gov/cms_ia/importalert_189.html,2026-09-07T20:42:24Z,404,text/html,420,33845da268ae6c5b7070ccf004116a4006c0884c652286cbf03afb86ad19fe45,,,quarantined,quarantine/fda.importalert.66-40/2026/09/20260907T204224Z-33845da268ae.html.gz,bad_status_404,
fda.importalert.66-40,https://www.accessdata.fda.gov/cms_ia/importalert_189.html,2026-09-07T20:58:00Z,304,text/html,1937226,fa4b8a359953caf632b7d2a72c2c700f3620f250e93aee539383db51365e8c99,"""34ace485be3cdd1:0""","Fri, 04 Sep 2026 22:41:27 GMT",unchanged,raw/fda.importalert.66-40/2026/09/20260907T200141Z-fa4b8a359953.html.gz,not_modified,
fda.importalert.66-40,https://www.accessdata.fda.gov/cms_ia/importalert_189.html,2026-09-07T21:01:48Z,304,text/html,1937226,fa4b8a359953caf632b7d2a72c2c700f3620f250e93aee539383db51365e8c99,"""34ace485be3cdd1:0""","Fri, 04 Sep 2026 22:41:27 GMT",unchanged,raw/fda.importalert.66-40/2026/09/20260907T200141Z-fa4b8a359953.html.gz,not_modified,
fda.importalert.66-40,https://www.accessdata.fda.gov/cms_ia/importalert_189.html,2026-09-07T21:05:43Z,404,text/html,418,b5812b7b025e7a4f42555f01baf41911d72e15bac4b63195da0013938ea2dc21,,,quarantined,quarantine/fda.importalert.66-40/2026/09/20260907T210543Z-b5812b7b025e.html.gz,bad_status_404,
fda.importalert.66-40,https://www.accessdata.fda.gov/cms_ia/importalert_189.html,2026-09-08T00:34:37Z,404,text/html,420,12d40c9ccd665541d50e58698f35553e460f69282fadc824025bee04ec30ca96,,,quarantined,quarantine/fda.importalert.66-40/2026/09/20260908T003437Z-12d40c9ccd66.html.gz,bad_status_404,
fda.importalert.66-40,https://www.accessdata.fda.gov/cms_ia/importalert_189.html,2026-09-08T14:18:28Z,304,text/html,1937226,fa4b8a359953caf632b7d2a72c2c700f3620f250e93aee539383db51365e8c99,"""34ace485be3cdd1:0""","Fri, 04 Sep 2026 22:41:27 GMT",unchanged,raw/fda.importalert.66-40/2026/09/20260907T200141Z-fa4b8a359953.html.gz,not_modified,
fda.importalert.66-40,https://www.accessdata.fda.gov/cms_ia/importalert_189.html,2026-09-10T07:38:09Z,200,text/html,1937242,56a66704033f679d3e18563d605a93b7620c263f8710ebaa6d387b5255a1871b,"""278b97168f40dd1:0""","Wed, 09 Sep 2026 19:11:59 GMT",changed,raw/fda.importalert.66-40/2026/09/20260910T073809Z-56a66704033f.html.gz,,
