source_id,url,fetched_at,http_status,content_type,content_length,content_sha256,etag,last_modified,outcome,raw_ref,reason,warnings
fda.inspections.drugs,https://api-datadashboard.fda.gov/v1/inspections_classifications#body=4be89671d969,2026-09-07T21:02:29Z,200,application/json,1036700,b392943f4c520c35954b2f165dad3cad7a213573c67da8f74b88ce4842296ef5,"W/""fd19c-6N20k3ucTXhTr/6L7s4JbMPeR7k""",,first_capture,raw/fda.inspections.drugs/2026/09/20260907T210229Z-b392943f4c52.json.gz,,
fda.inspections.drugs,https://api-datadashboard.fda.gov/v1/inspections_classifications#body=587d7e19e97c,2026-09-07T21:02:33Z,200,application/json,1251518,485f15e8f496a872b2adfcdfff3a92ebf031c5471fb9f9683970a940202fd1ce,"W/""1318be-NFwce0RLkgWQ9iL5ZDoG4G56wC0""",,first_capture,raw/fda.inspections.drugs/2026/09/20260907T210233Z-485f15e8f496.json.gz,,
fda.inspections.drugs,https://api-datadashboard.fda.gov/v1/inspections_classifications#body=9a3755a70b3a,2026-09-07T21:02:36Z,200,application/json,1340447,954bbebd51db5c989dfee66fb0747ad3d3e98716a13c5978cbcee7ee31de3ea6,"W/""14741f-aExld9qRJhyJI54wXfNMqoWn0VA""",,first_capture,raw/fda.inspections.drugs/2026/09/20260907T210236Z-954bbebd51db.json.gz,,
fda.inspections.drugs,https://api-datadashboard.fda.gov/v1/inspections_classifications#body=31afaa6513ee,2026-09-07T21:02:40Z,200,application/json,1409723,f62f0639a204f9419c9cf48ab4729d1164b22ed9b02f11babc9d8debb31460d8,"W/""1582bb-xEMwaPc7u2Ip9uxMFrYUvWJUAtM""",,first_capture,raw/fda.inspections.drugs/2026/09/20260907T210240Z-f62f0639a204.json.gz,,
fda.inspections.drugs,https://api-datadashboard.fda.gov/v1/inspections_classifications#body=c1a30107a13e,2026-09-07T21:02:43Z,200,application/json,546607,238ef81935914e8593210be472b179a04ca7a9ee5e43fe6ece6cf1aba19f047b,"W/""8572f-voSyx45vW2Q/HzvZJSOCLFfMMkg""",,first_capture,raw/fda.inspections.drugs/2026/09/20260907T210243Z-238ef8193591.json.gz,,
fda.inspections.drugs,https://api-datadashboard.fda.gov/v1/inspections_classifications#body=4be89671d969,2026-09-07T21:05:58Z,200,application/json,1036700,b392943f4c520c35954b2f165dad3cad7a213573c67da8f74b88ce4842296ef5,"W/""fd19c-6N20k3ucTXhTr/6L7s4JbMPeR7k""",,unchanged,raw/fda.inspections.drugs/2026/09/20260907T210229Z-b392943f4c52.json.gz,,
fda.inspections.drugs,https://api-datadashboard.fda.gov/v1/inspections_classifications#body=587d7e19e97c,2026-09-07T21:05:59Z,200,application/json,1251518,485f15e8f496a872b2adfcdfff3a92ebf031c5471fb9f9683970a940202fd1ce,"W/""1318be-NFwce0RLkgWQ9iL5ZDoG4G56wC0""",,unchanged,raw/fda.inspections.drugs/2026/09/20260907T210233Z-485f15e8f496.json.gz,,
fda.inspections.drugs,https://api-datadashboard.fda.gov/v1/inspections_classifications#body=9a3755a70b3a,2026-09-07T21:06:01Z,200,application/json,1340447,954bbebd51db5c989dfee66fb0747ad3d3e98716a13c5978cbcee7ee31de3ea6,"W/""14741f-aExld9qRJhyJI54wXfNMqoWn0VA""",,unchanged,raw/fda.inspections.drugs/2026/09/20260907T210236Z-954bbebd51db.json.gz,,
fda.inspections.drugs,https://api-datadashboard.fda.gov/v1/inspections_classifications#body=31afaa6513ee,2026-09-07T21:06:04Z,200,application/json,1409723,f62f0639a204f9419c9cf48ab4729d1164b22ed9b02f11babc9d8debb31460d8,"W/""1582bb-xEMwaPc7u2Ip9uxMFrYUvWJUAtM""",,unchanged,raw/fda.inspections.drugs/2026/09/20260907T210240Z-f62f0639a204.json.gz,,
fda.inspections.drugs,https://api-datadashboard.fda.gov/v1/inspections_classifications#body=c1a30107a13e,2026-09-07T21:06:06Z,200,application/json,546607,238ef81935914e8593210be472b179a04ca7a9ee5e43fe6ece6cf1aba19f047b,"W/""8572f-voSyx45vW2Q/HzvZJSOCLFfMMkg""",,unchanged,raw/fda.inspections.drugs/2026/09/20260907T210243Z-238ef8193591.json.gz,,
